text,department
"WiFi not working in computer lab","IT Cell"
"Internet connection is very slow","IT Cell"
"Cannot login to student portal","IT Cell"
"Printer not working in library","IT Cell"
"Projector not functioning in classroom","IT Cell"
"Broken chair in classroom 301","Maintenance"
"AC not working in room 205","Maintenance"
"Leaking tap in hostel bathroom","Maintenance"
"Damaged door in Block A","Maintenance"
"Ceiling fan making noise","Maintenance"
"Food quality is poor in mess","Hostel"
"Water supply issue in hostel","Hostel"
"Room cleaning not done properly","Hostel"
"Hostel warden not available","Hostel"
"Bed mattress needs replacement","Hostel"
"Bus not arriving on time","Transport"
"Bus driver rude behavior","Transport"
"Need additional bus for route 5","Transport"
"Bus AC not working","Transport"
"Late pickup from hostel","Transport"
"Exam schedule not updated","Academics"
"Assignment deadline extension needed","Academics"
"Marks not uploaded on portal","Academics"
"Teacher absent frequently","Academics"
"Syllabus not completed","Academics"
"Fee receipt not generated","Accounts"
"Scholarship amount not credited","Accounts"
"Wrong fee charged","Accounts"
"Refund not processed","Accounts"
"Payment gateway not working","Accounts"
"Book not available in library","Library"
"Library card issue","Library"
"Late fine charged incorrectly","Library"
"Reading room AC not working","Library"
"Book return date extension","Library"
"ID card not issued","Administration"
"Bonafide certificate delay","Administration"
"Admission form issue","Administration"
"Document verification pending","Administration"
"Office staff unhelpful","Administration"
